prefab_name: "Seattle:Story/GrizzledVeteran"
character_sheet_id: "BaseCivilian"
equipment_sheet_id: "Story_Paco"
character_mod {
  stats {
    body: 0
    quickness: 0
    strength: 0
    charisma: 0
    intelligence: 0
    willpower: 0
    essence: 0
    magic: 0
    hp: 0
    ap: 0
    armor: 0
    force: 0
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
  }
  skills {
    ranged_combat: 0
    close_combat: 0
    throwing_weapons: 0
    spellcasting: 0
    decking: 0
    conjuring: 0
    spirit_summoning: 0
    drone_control: 0
    biotech: 0
    dodge: 0
    stealth: 0
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_paranormal: 0
    etiquette_socialite: 0
    etiquette_infected: 0
    chi_casting: 0
    drain_resistance: 0
    drone_combat: 0
  }
  specializations {
    pistol: 0
    rifle: 0
    shotgun: 0
    smg: 0
    edged: 0
    unarmed: 0
    throwing_blades: 0
    spirit_control: 0
  }
  archetypeName: "Player"
  attitude: AttitudeAggressive
  attackRandom: AttackStyle_AllEqual
  vulnerabilities {
  }
}
team_id: "Civilians"
char_name: "Shin"
pc_spawn_number: -1
hiring_type: HiringType_None
portrait {
  filename: "backerpc_elfmale_michaelkrell_akumaishibara"
}
description_bio: ""
karma: 6
hiring_cost_override: 0
